Variable,Year,Value,RSE,Industry
AI stud fees and herd testing ($),1990,760,39,All Broadacre
Accounting services ($),1990,2730,4,All Broadacre
Advisory services ($),1990,260,37,All Broadacre
Age of owner manager (yrs),1990,53,1,All Broadacre
Age of spouse (yrs),1990,49,1,All Broadacre
Agistment ($),1990,1870,36,All Broadacre
Area operated at 30 June (ha),1990,5466,8,All Broadacre
Barley area sown (ha),1990,27,7,All Broadacre
Barley produced (t),1990,51,8,All Broadacre
Barley receipts ($),1990,16720,9,All Broadacre
Beef bulls at 30 June (no.),1990,6,9,All Broadacre
Beef calves at 30 June (no.),1990,60,5,All Broadacre
Beef cattle purchased ($),1990,25160,196,All Broadacre
Beef cattle purchased (no.),1990,27,155,All Broadacre
Beef cattle receipts ($),1990,100480,69,All Broadacre
Beef cattle sold (no.),1990,93,39,All Broadacre
Beef cattle transferred off farm (no.),1990,3,48,All Broadacre
Beef cattle transferred onto farm (no.),1990,3,48,All Broadacre
Beef cows at 30 June (no.),1990,102,5,All Broadacre
Beef heifers at 30 June (no.),1990,23,7,All Broadacre
Beef herd at 30 June (no.),1990,235,8,All Broadacre
Branding rate (%),1990,79.6,2,All Broadacre
Buildup in trading stocks ($),1990,9010,61,All Broadacre
Canola area sown (ha),1990,1,70,All Broadacre
Canola produced (t),1990,1,88,All Broadacre
Canola receipts ($),1990,490,80,All Broadacre
Capital appreciation ($),1990,-105890,19,All Broadacre
Capital at 1 July ($),1990,2482320,3,All Broadacre
Change in farm debt ($),1990,21140,24,All Broadacre
Contracts - cropping ($),1990,4710,9,All Broadacre
Contracts - livestock ($),1990,1060,15,All Broadacre
Cotton receipts ($),1990,390,62,All Broadacre
Crop and pasture chemicals ($),1990,10280,20,All Broadacre
Dairy cattle at June 30 (no.),1990,0,61,All Broadacre
Depreciation ($),1990,39560,4,All Broadacre
Electricity ($),1990,2830,11,All Broadacre
Equity ratio at 30 June (%),1990,90,1,All Broadacre
Ewes at 30 June (no.),1990,945,3,All Broadacre
Family share of farm income ($),1990,43280,10,All Broadacre
Farm business debt at 30 June ($),1990,233710,6,All Broadacre
Farm business equity June 30 ($),1990,2077920,3,All Broadacre
Farm business profit ($),1990,14350,38,All Broadacre
Farm cash income ($),1990,109330,5,All Broadacre
Farm liquid assets at 30 June ($),1990,124070,8,All Broadacre
Fertiliser ($),1990,19610,9,All Broadacre
Field peas area sown (ha),1990,6,20,All Broadacre
Field peas produced (t),1990,6,17,All Broadacre
Field peas receipts ($),1990,2940,20,All Broadacre
Fodder ($),1990,7780,252,All Broadacre
Fuel oil and grease ($),1990,19480,5,All Broadacre
Grain legumes area sown (ha),1990,17,49,All Broadacre
Grain legumes produced (t),1990,17,41,All Broadacre
Grain legumes receipts ($),1990,7090,44,All Broadacre
Handling and marketing ($),1990,20680,3,All Broadacre
Hours worked on farm - total (hrsperwk),1990,,,All Broadacre
Hours worked on farm by owner manager (hrsperwk),1990,,,All Broadacre
Hours worked on farm by spouse (hrsperwk),1990,,,All Broadacre
Imputed labor cost ($),1990,64430,2,All Broadacre
Insurance ($),1990,6030,5,All Broadacre
Interest paid ($),1990,37210,7,All Broadacre
Lambs at 30 June (no.),1990,450,4,All Broadacre
Land rent ($),1990,3180,13,All Broadacre
Leasing charges ($),1990,6980,26,All Broadacre
Livestock materials ($),1990,7660,4,All Broadacre
Livestock transfers - inwards ($),1990,2260,39,All Broadacre
Livestock transfers - outward ($),1990,2200,48,All Broadacre
Lupins area sown (ha),1990,10,81,All Broadacre
Lupins produced (t),1990,9,70,All Broadacre
Lupins receipts ($),1990,3110,88,All Broadacre
Net capital additions ($),1990,49600,17,All Broadacre
Oats area sown (ha),1990,20,9,All Broadacre
Oats produced (t),1990,20,10,All Broadacre
Oats receipts ($),1990,2410,17,All Broadacre
Off farm contracts ($),1990,6570,19,All Broadacre
Off farm sharefarming ($),1990,5150,29,All Broadacre
Off-farm work for owner manager (hrsperwk),1990,3,19,All Broadacre
Off-farm work for spouse (hrsperwk),1990,4,12,All Broadacre
Oilseeds area sown (ha),1990,6,53,All Broadacre
Oilseeds produced (t),1990,6,47,All Broadacre
Oilseeds receipts ($),1990,5360,33,All Broadacre
Other administration expenses ($),1990,4550,6,All Broadacre
Other farm income ($),1990,12050,26,All Broadacre
Other livestock purchased ($),1990,440,18,All Broadacre
Other livestock receipts ($),1990,4230,21,All Broadacre
Other materials ($),1990,2980,7,All Broadacre
Other services ($),1990,10750,6,All Broadacre
Payments to sharefarmers ($),1990,3640,21,All Broadacre
Population,1990,83618,,All Broadacre
Produce purchased for resale ($),1990,70,54,All Broadacre
Profit at full equity ($),1990,59350,8,All Broadacre
Profit at full equity including capital appreciation ($),1990,-46540,44,All Broadacre
Rams at 30 June (no.),1990,26,6,All Broadacre
Rate of return ex. capital appreciation (%),1990,2.5,8,All Broadacre
Rate of return inc. capital appreciation (%),1990,-1.9,44,All Broadacre
Repairs and maintenance ($),1990,29840,6,All Broadacre
Rice area sown (ha),1990,1,23,All Broadacre
Sample Contributing,1990,1041,,All Broadacre
Seed ($),1990,3360,10,All Broadacre
Shearing crutching ($),1990,13280,4,All Broadacre
Sheep and lambs shorn (no.),1990,2136,3,All Broadacre
Sheep flock at 30 June (no.),1990,2018,3,All Broadacre
Sheep purchased ($),1990,10990,13,All Broadacre
Sheep purchased (no.),1990,170,18,All Broadacre
Sheep receipts ($),1990,30090,6,All Broadacre
Sheep sold (no.),1990,583,4,All Broadacre
Shire and PPB rates ($),1990,7730,4,All Broadacre
Sorghum area sown (ha),1990,7,29,All Broadacre
Sorghum produced (t),1990,12,19,All Broadacre
Sorghum receipts ($),1990,4710,20,All Broadacre
Steers and other beef cattle at 30 June (no.),1990,45,37,All Broadacre
Stores and rations ($),1990,760,9,All Broadacre
Telephone ($),1990,2420,4,All Broadacre
Total area cropped (ha),1990,211,10,All Broadacre
Total area irrigated (ha),1990,12,13,All Broadacre
Total cash costs ($),1990,298950,25,All Broadacre
Total cash receipts ($),1990,408270,18,All Broadacre
Total closing capital ($),1990,2395470,3,All Broadacre
Total crop gross receipts ($),1990,115530,10,All Broadacre
Total family income ($),1990,83160,6,All Broadacre
Total freight ($),1990,13360,13,All Broadacre
Total labor used (weeks),1990,109,3,All Broadacre
Total non farm income ($),1990,32540,6,All Broadacre
Total off farm wages ($),1990,11100,12,All Broadacre
Total wool sold (kg),1990,10026,3,All Broadacre
Value of land and fixed improvements ($),1990,1948510,3,All Broadacre
Vet fees ($),1990,430,14,All Broadacre
Wages for hired labor ($),1990,12340,14,All Broadacre
Water charges ($),1990,1480,15,All Broadacre
Wethers at 30 June (no.),1990,598,5,All Broadacre
Wheat area sown (ha),1990,105,11,All Broadacre
Wheat produced (t),1990,167,11,All Broadacre
Wheat receipts ($),1990,67210,12,All Broadacre
Wheat sold (t),1990,162,11,All Broadacre
Wool cut per head (kg),1990,4.7,1,All Broadacre
Wool produced (kg),1990,10034,3,All Broadacre
Wool receipts ($),1990,131970,3,All Broadacre
AI stud fees and herd testing ($),1990,1760,59,Beef
Accounting services ($),1990,2230,9,Beef
Advisory services ($),1990,140,46,Beef
Age of owner manager (yrs),1990,57,2,Beef
Age of spouse (yrs),1990,51,3,Beef
Agistment ($),1990,2930,28,Beef
Area operated at 30 June (ha),1990,12927,14,Beef
Barley area sown (ha),1990,3,36,Beef
Barley produced (t),1990,4,58,Beef
Barley receipts ($),1990,1350,73,Beef
Beef bulls at 30 June (no.),1990,18,12,Beef
Beef calves at 30 June (no.),1990,169,7,Beef
Beef cattle purchased ($),1990,60970,17,Beef
Beef cattle purchased (no.),1990,64,20,Beef
Beef cattle receipts ($),1990,269080,7,Beef
Beef cattle sold (no.),1990,249,6,Beef
Beef cattle transferred off farm (no.),1990,11,52,Beef
Beef cattle transferred onto farm (no.),1990,12,50,Beef
Beef cows at 30 June (no.),1990,301,6,Beef
Beef heifers at 30 June (no.),1990,67,9,Beef
Beef herd at 30 June (no.),1990,697,6,Beef
Branding rate (%),1990,77.4,3,Beef
Buildup in trading stocks ($),1990,12910,65,Beef
Canola area sown (ha),1990,0,,Beef
Canola produced (t),1990,0,,Beef
Canola receipts ($),1990,0,,Beef
Capital appreciation ($),1990,76420,40,Beef
Capital at 1 July ($),1990,2716220,6,Beef
Change in farm debt ($),1990,7000,139,Beef
Contracts - cropping ($),1990,1220,22,Beef
Contracts - livestock ($),1990,1700,20,Beef
Cotton receipts ($),1990,0,,Beef
Crop and pasture chemicals ($),1990,2490,24,Beef
Dairy cattle at June 30 (no.),1990,0,161,Beef
Depreciation ($),1990,31680,9,Beef
Electricity ($),1990,2220,10,Beef
Equity ratio at 30 June (%),1990,95,1,Beef
Ewes at 30 June (no.),1990,15,42,Beef
Family share of farm income ($),1990,19120,78,Beef
Farm business debt at 30 June ($),1990,142010,16,Beef
Farm business equity June 30 ($),1990,2478150,6,Beef
Farm business profit ($),1990,-13500,103,Beef
Farm cash income ($),1990,61360,19,Beef
Farm liquid assets at 30 June ($),1990,140830,20,Beef
Fertiliser ($),1990,9760,11,Beef
Field peas area sown (ha),1990,0,94,Beef
Field peas produced (t),1990,0,108,Beef
Field peas receipts ($),1990,80,108,Beef
Fodder ($),1990,11540,22,Beef
Fuel oil and grease ($),1990,14460,14,Beef
Grain legumes area sown (ha),1990,1,53,Beef
Grain legumes produced (t),1990,1,65,Beef
Grain legumes receipts ($),1990,330,54,Beef
Handling and marketing ($),1990,11220,7,Beef
Hours worked on farm - total (hrsperwk),1990,,,Beef
Hours worked on farm by owner manager (hrsperwk),1990,,,Beef
Hours worked on farm by spouse (hrsperwk),1990,,,Beef
Imputed labor cost ($),1990,56090,5,Beef
Insurance ($),1990,4090,11,Beef
Interest paid ($),1990,31430,18,Beef
Lambs at 30 June (no.),1990,11,44,Beef
Land rent ($),1990,1790,18,Beef
Leasing charges ($),1990,7980,67,Beef
Livestock materials ($),1990,5250,10,Beef
Livestock transfers - inwards ($),1990,7320,49,Beef
Livestock transfers - outward ($),1990,7510,59,Beef
Lupins area sown (ha),1990,0,82,Beef
Lupins produced (t),1990,1,85,Beef
Lupins receipts ($),1990,140,83,Beef
Net capital additions ($),1990,7390,168,Beef
Oats area sown (ha),1990,8,20,Beef
Oats produced (t),1990,2,41,Beef
Oats receipts ($),1990,50,54,Beef
Off farm contracts ($),1990,2530,28,Beef
Off farm sharefarming ($),1990,470,80,Beef
Off-farm work for owner manager (hrsperwk),1990,4,31,Beef
Off-farm work for spouse (hrsperwk),1990,2,27,Beef
Oilseeds area sown (ha),1990,16,87,Beef
Oilseeds produced (t),1990,12,86,Beef
Oilseeds receipts ($),1990,9460,71,Beef
Other administration expenses ($),1990,4370,11,Beef
Other farm income ($),1990,9010,15,Beef
Other livestock purchased ($),1990,730,30,Beef
Other livestock receipts ($),1990,3720,39,Beef
Other materials ($),1990,2030,14,Beef
Other services ($),1990,12060,10,Beef
Payments to sharefarmers ($),1990,690,62,Beef
Population,1990,19850,,Beef
Produce purchased for resale ($),1990,0,,Beef
Profit at full equity ($),1990,26920,39,Beef
Profit at full equity including capital appreciation ($),1990,103340,29,Beef
Rams at 30 June (no.),1990,1,34,Beef
Rate of return ex. capital appreciation (%),1990,1,39,Beef
Rate of return inc. capital appreciation (%),1990,3.7,28,Beef
Repairs and maintenance ($),1990,23710,9,Beef
Rice area sown (ha),1990,0,,Beef
Sample Contributing,1990,266,,Beef
Seed ($),1990,3430,35,Beef
Shearing crutching ($),1990,200,53,Beef
Sheep and lambs shorn (no.),1990,47,39,Beef
Sheep flock at 30 June (no.),1990,48,38,Beef
Sheep purchased ($),1990,500,48,Beef
Sheep purchased (no.),1990,16,42,Beef
Sheep receipts ($),1990,1200,33,Beef
Sheep sold (no.),1990,25,31,Beef
Shire and PPB rates ($),1990,7840,8,Beef
Sorghum area sown (ha),1990,12,69,Beef
Sorghum produced (t),1990,3,45,Beef
Sorghum receipts ($),1990,4400,70,Beef
Steers and other beef cattle at 30 June (no.),1990,141,10,Beef
Stores and rations ($),1990,1240,15,Beef
Telephone ($),1990,2090,7,Beef
Total area cropped (ha),1990,73,32,Beef
Total area irrigated (ha),1990,5,23,Beef
Total cash costs ($),1990,261780,9,Beef
Total cash receipts ($),1990,323140,8,Beef
Total closing capital ($),1990,2781550,6,Beef
Total crop gross receipts ($),1990,26850,45,Beef
Total family income ($),1990,65460,23,Beef
Total freight ($),1990,8110,13,Beef
Total labor used (weeks),1990,99,5,Beef
Total non farm income ($),1990,38770,14,Beef
Total off farm wages ($),1990,10740,26,Beef
Total wool sold (kg),1990,208,41,Beef
Value of land and fixed improvements ($),1990,2162290,7,Beef
Vet fees ($),1990,670,24,Beef
Wages for hired labor ($),1990,13020,14,Beef
Water charges ($),1990,620,28,Beef
Wethers at 30 June (no.),1990,21,54,Beef
Wheat area sown (ha),1990,6,71,Beef
Wheat produced (t),1990,16,85,Beef
Wheat receipts ($),1990,6860,72,Beef
Wheat sold (t),1990,15,85,Beef
Wool cut per head (kg),1990,4.4,8,Beef
Wool produced (kg),1990,211,41,Beef
Wool receipts ($),1990,2760,45,Beef
AI stud fees and herd testing ($),1990,80,123,Cropping
Accounting services ($),1990,2840,21,Cropping
Advisory services ($),1990,110,186,Cropping
Age of owner manager (yrs),1990,52,4,Cropping
Age of spouse (yrs),1990,47,5,Cropping
Agistment ($),1990,100,43,Cropping
Area operated at 30 June (ha),1990,1082,23,Cropping
Barley area sown (ha),1990,77,16,Cropping
Barley produced (t),1990,165,20,Cropping
Barley receipts ($),1990,54810,21,Cropping
Beef bulls at 30 June (no.),1990,1,67,Cropping
Beef calves at 30 June (no.),1990,12,26,Cropping
Beef cattle purchased ($),1990,6900,40,Cropping
Beef cattle purchased (no.),1990,8,42,Cropping
Beef cattle receipts ($),1990,18780,26,Cropping
Beef cattle sold (no.),1990,16,29,Cropping
Beef cattle transferred off farm (no.),1990,0,,Cropping
Beef cattle transferred onto farm (no.),1990,0,,Cropping
Beef cows at 30 June (no.),1990,16,24,Cropping
Beef heifers at 30 June (no.),1990,4,31,Cropping
Beef herd at 30 June (no.),1990,40,21,Cropping
Branding rate (%),1990,89.4,3,Cropping
Buildup in trading stocks ($),1990,5180,199,Cropping
Canola area sown (ha),1990,2,148,Cropping
Canola produced (t),1990,5,150,Cropping
Canola receipts ($),1990,2460,150,Cropping
Capital appreciation ($),1990,-118340,41,Cropping
Capital at 1 July ($),1990,2102670,15,Cropping
Change in farm debt ($),1990,2710,621,Cropping
Contracts - cropping ($),1990,11990,23,Cropping
Contracts - livestock ($),1990,130,63,Cropping
Cotton receipts ($),1990,2110,78,Cropping
Crop and pasture chemicals ($),1990,25430,67,Cropping
Dairy cattle at June 30 (no.),1990,0,108,Cropping
Depreciation ($),1990,55430,16,Cropping
Electricity ($),1990,3440,28,Cropping
Equity ratio at 30 June (%),1990,84,4,Cropping
Ewes at 30 June (no.),1990,297,29,Cropping
Family share of farm income ($),1990,78510,19,Cropping
Farm business debt at 30 June ($),1990,308980,35,Cropping
Farm business equity June 30 ($),1990,1657570,16,Cropping
Farm business profit ($),1990,57140,39,Cropping
Farm cash income ($),1990,174500,15,Cropping
Farm liquid assets at 30 June ($),1990,151550,19,Cropping
Fertiliser ($),1990,31350,54,Cropping
Field peas area sown (ha),1990,26,41,Cropping
Field peas produced (t),1990,31,35,Cropping
Field peas receipts ($),1990,12930,41,Cropping
Fodder ($),1990,16040,104,Cropping
Fuel oil and grease ($),1990,34030,18,Cropping
Grain legumes area sown (ha),1990,62,138,Cropping
Grain legumes produced (t),1990,64,109,Cropping
Grain legumes receipts ($),1990,28020,112,Cropping
Handling and marketing ($),1990,25660,20,Cropping
Hours worked on farm - total (hrsperwk),1990,,,Cropping
Hours worked on farm by owner manager (hrsperwk),1990,,,Cropping
Hours worked on farm by spouse (hrsperwk),1990,,,Cropping
Imputed labor cost ($),1990,67100,12,Cropping
Insurance ($),1990,8690,23,Cropping
Interest paid ($),1990,46090,28,Cropping
Lambs at 30 June (no.),1990,107,19,Cropping
Land rent ($),1990,2560,55,Cropping
Leasing charges ($),1990,7260,159,Cropping
Livestock materials ($),1990,2090,37,Cropping
Livestock transfers - inwards ($),1990,0,,Cropping
Livestock transfers - outward ($),1990,0,,Cropping
Lupins area sown (ha),1990,26,304,Cropping
Lupins produced (t),1990,23,281,Cropping
Lupins receipts ($),1990,9320,294,Cropping
Net capital additions ($),1990,73280,56,Cropping
Oats area sown (ha),1990,10,61,Cropping
Oats produced (t),1990,13,58,Cropping
Oats receipts ($),1990,1820,69,Cropping
Off farm contracts ($),1990,22480,52,Cropping
Off farm sharefarming ($),1990,17110,73,Cropping
Off-farm work for owner manager (hrsperwk),1990,1,65,Cropping
Off-farm work for spouse (hrsperwk),1990,4,38,Cropping
Oilseeds area sown (ha),1990,9,39,Cropping
Oilseeds produced (t),1990,13,53,Cropping
Oilseeds receipts ($),1990,20070,35,Cropping
Other administration expenses ($),1990,4650,39,Cropping
Other farm income ($),1990,33710,67,Cropping
Other livestock purchased ($),1990,680,52,Cropping
Other livestock receipts ($),1990,9230,58,Cropping
Other materials ($),1990,1800,14,Cropping
Other services ($),1990,10450,26,Cropping
Payments to sharefarmers ($),1990,14700,40,Cropping
Population,1990,8157,,Cropping
Produce purchased for resale ($),1990,400,96,Cropping
Profit at full equity ($),1990,108460,21,Cropping
Profit at full equity including capital appreciation ($),1990,-9880,592,Cropping
Rams at 30 June (no.),1990,4,17,Cropping
Rate of return ex. capital appreciation (%),1990,5.4,21,Cropping
Rate of return inc. capital appreciation (%),1990,-0.5,596,Cropping
Repairs and maintenance ($),1990,39670,30,Cropping
Rice area sown (ha),1990,4,52,Cropping
Sample Contributing,1990,98,,Cropping
Seed ($),1990,6520,25,Cropping
Shearing crutching ($),1990,2360,21,Cropping
Sheep and lambs shorn (no.),1990,625,48,Cropping
Sheep flock at 30 June (no.),1990,609,44,Cropping
Sheep purchased ($),1990,8420,161,Cropping
Sheep purchased (no.),1990,163,179,Cropping
Sheep receipts ($),1990,12380,38,Cropping
Sheep sold (no.),1990,231,37,Cropping
Shire and PPB rates ($),1990,8250,21,Cropping
Sorghum area sown (ha),1990,27,21,Cropping
Sorghum produced (t),1990,86,24,Cropping
Sorghum receipts ($),1990,27430,20,Cropping
Steers and other beef cattle at 30 June (no.),1990,8,24,Cropping
Stores and rations ($),1990,30,52,Cropping
Telephone ($),1990,2560,18,Cropping
Total area cropped (ha),1990,562,35,Cropping
Total area irrigated (ha),1990,12,27,Cropping
Total cash costs ($),1990,367490,32,Cropping
Total cash receipts ($),1990,541990,22,Cropping
Total closing capital ($),1990,2004610,17,Cropping
Total crop gross receipts ($),1990,394600,26,Cropping
Total family income ($),1990,109250,15,Cropping
Total freight ($),1990,32630,27,Cropping
Total labor used (weeks),1990,108,18,Cropping
Total non farm income ($),1990,25580,16,Cropping
Total off farm wages ($),1990,7830,39,Cropping
Total wool sold (kg),1990,2872,25,Cropping
Value of land and fixed improvements ($),1990,1629120,18,Cropping
Vet fees ($),1990,90,45,Cropping
Wages for hired labor ($),1990,7280,94,Cropping
Water charges ($),1990,2250,26,Cropping
Wethers at 30 June (no.),1990,202,91,Cropping
Wheat area sown (ha),1990,349,33,Cropping
Wheat produced (t),1990,574,29,Cropping
Wheat receipts ($),1990,233500,32,Cropping
Wheat sold (t),1990,567,29,Cropping
Wool cut per head (kg),1990,4.7,26,Cropping
Wool produced (kg),1990,2914,25,Cropping
Wool receipts ($),1990,33710,19,Cropping
AI stud fees and herd testing ($),1990,3880,7,Dairy
Accounting services ($),1990,1820,6,Dairy
Advisory services ($),1990,90,32,Dairy
Age of owner manager (yrs),1990,48,2,Dairy
Age of spouse (yrs),1990,45,2,Dairy
Agistment ($),1990,2330,14,Dairy
Area operated at 30 June (ha),1990,161,4,Dairy
Beef cattle purchased ($),1990,4490,33,Dairy
Beef cattle receipts ($),1990,19920,17,Dairy
Beef cattle sold (no.),1990,17,15,Dairy
Beef herd at 30 June (no.),1990,32,14,Dairy
Buildup in trading stocks ($),1990,5420,47,Dairy
Capital appreciation ($),1990,-150290,138,Dairy
Capital at 1 July ($),1990,2087360,11,Dairy
Change in farm debt ($),1990,26430,50,Dairy
Contracts - cropping ($),1990,2950,14,Dairy
Contracts - livestock ($),1990,120,121,Dairy
Crop and pasture chemicals ($),1990,820,14,Dairy
Dairy cattle at June 30 (no.),1990,168,2,Dairy
Dairy cattle purchased ($),1990,8000,12,Dairy
Dairy cattle purchased (no.),1990,6,13,Dairy
Dairy cattle sold ($),1990,30480,4,Dairy
Dairy cattle sold (no.),1990,92,3,Dairy
Dairy cows at 30 June (no.),1990,113,2,Dairy
Dairy cows mated (no.),1990,116,2,Dairy
Dairy supplies ($),1990,3760,8,Dairy
Depreciation ($),1990,28400,4,Dairy
Electricity ($),1990,7500,4,Dairy
Equity ratio at 30 June (%),1990,89,1,Dairy
Family share of farm income ($),1990,54880,9,Dairy
Farm business debt at 30 June ($),1990,220370,10,Dairy
Farm business equity June 30 ($),1990,1706320,6,Dairy
Farm business profit ($),1990,5540,97,Dairy
Farm cash income ($),1990,101760,5,Dairy
Farm liquid assets at 30 June ($),1990,49020,15,Dairy
Fertiliser ($),1990,14000,6,Dairy
Fodder ($),1990,32450,7,Dairy
Fuel oil and grease ($),1990,10020,4,Dairy
Handling and marketing ($),1990,25100,3,Dairy
Hours worked on farm - total (hrsperwk),1990,,,Dairy
Hours worked on farm by owner manager (hrsperwk),1990,,,Dairy
Hours worked on farm by spouse (hrsperwk),1990,,,Dairy
Imputed labor cost ($),1990,73240,3,Dairy
Insurance ($),1990,3400,5,Dairy
Interest paid ($),1990,33090,8,Dairy
Land rent ($),1990,6020,18,Dairy
Leasing charges ($),1990,1560,21,Dairy
Livestock materials ($),1990,3710,8,Dairy
Livestock transfers - inwards ($),1990,180,57,Dairy
Livestock transfers - outward ($),1990,3570,50,Dairy
Manufacturing milk (ltrs),1990,309365,3,Dairy
Market milk (ltrs),1990,117503,5,Dairy
Milk produced (ltrs),1990,309365,3,Dairy
Milk produced (ltrs),1990,426869,3,Dairy
Milk receipts excluding freight ($),1990,268020,3,Dairy
Milk receipts excluding freight ($),1990,268020,3,Dairy
Net capital additions ($),1990,45060,29,Dairy
Off farm contracts ($),1990,1790,33,Dairy
Off farm sharefarming ($),1990,250,89,Dairy
Off-farm work for owner manager (hrsperwk),1990,3,41,Dairy
Off-farm work for spouse (hrsperwk),1990,5,23,Dairy
Other administration expenses ($),1990,3960,8,Dairy
Other farm income ($),1990,6640,13,Dairy
Other livestock purchased ($),1990,310,37,Dairy
Other livestock receipts ($),1990,2250,33,Dairy
Other materials ($),1990,2670,11,Dairy
Other services ($),1990,6620,7,Dairy
Payments to sharefarmers ($),1990,10960,21,Dairy
Population,1990,14453,,Dairy
Produce purchased for resale ($),1990,30,97,Dairy
Profit at full equity ($),1990,45420,11,Dairy
Profit at full equity including capital appreciation ($),1990,-104870,197,Dairy
Rate of return ex. capital appreciation (%),1990,2.3,12,Dairy
Rate of return inc. capital appreciation (%),1990,-5.4,197,Dairy
Repairs and maintenance ($),1990,22400,4,Dairy
Sample Contributing,1990,295,,Dairy
Seed ($),1990,2770,13,Dairy
Shearing crutching ($),1990,160,47,Dairy
Shire and PPB rates ($),1990,5510,6,Dairy
Stores and rations ($),1990,30,62,Dairy
Telephone ($),1990,1640,6,Dairy
Total area cropped (ha),1990,34,5,Dairy
Total area irrigated (ha),1990,23,10,Dairy
Total cash costs ($),1990,237350,3,Dairy
Total cash receipts ($),1990,339110,3,Dairy
Total closing capital ($),1990,1952690,5,Dairy
Total crop gross receipts ($),1990,6200,36,Dairy
Total family income ($),1990,81990,6,Dairy
Total freight ($),1990,2320,13,Dairy
Total labor used (weeks),1990,124,3,Dairy
Total non farm income ($),1990,21570,16,Dairy
Total off farm wages ($),1990,12490,25,Dairy
Value of land and fixed improvements ($),1990,1577330,6,Dairy
Vet fees ($),1990,1260,14,Dairy
Wages for hired labor ($),1990,8260,12,Dairy
Water charges ($),1990,3160,11,Dairy
AI stud fees and herd testing ($),1990,670,81,Mixed
Accounting services ($),1990,2980,6,Mixed
Advisory services ($),1990,470,56,Mixed
Age of owner manager (yrs),1990,50,2,Mixed
Age of spouse (yrs),1990,48,2,Mixed
Agistment ($),1990,520,25,Mixed
Area operated at 30 June (ha),1990,1540,5,Mixed
Barley area sown (ha),1990,66,9,Mixed
Barley produced (t),1990,124,10,Mixed
Barley receipts ($),1990,40230,11,Mixed
Beef bulls at 30 June (no.),1990,1,23,Mixed
Beef calves at 30 June (no.),1990,17,12,Mixed
Beef cattle purchased ($),1990,10170,26,Mixed
Beef cattle purchased (no.),1990,12,30,Mixed
Beef cattle receipts ($),1990,38350,12,Mixed
Beef cattle sold (no.),1990,33,12,Mixed
Beef cattle transferred off farm (no.),1990,0,96,Mixed
Beef cattle transferred onto farm (no.),1990,0,103,Mixed
Beef cows at 30 June (no.),1990,24,11,Mixed
Beef heifers at 30 June (no.),1990,5,18,Mixed
Beef herd at 30 June (no.),1990,62,11,Mixed
Branding rate (%),1990,82.8,3,Mixed
Buildup in trading stocks ($),1990,4510,74,Mixed
Canola area sown (ha),1990,1,51,Mixed
Canola produced (t),1990,1,61,Mixed
Canola receipts ($),1990,920,63,Mixed
Capital appreciation ($),1990,-226920,26,Mixed
Capital at 1 July ($),1990,2401800,5,Mixed
Change in farm debt ($),1990,33490,34,Mixed
Contracts - cropping ($),1990,9100,11,Mixed
Contracts - livestock ($),1990,550,23,Mixed
Cotton receipts ($),1990,740,96,Mixed
Crop and pasture chemicals ($),1990,23590,20,Mixed
Dairy cattle at June 30 (no.),1990,1,75,Mixed
Depreciation ($),1990,52570,6,Mixed
Electricity ($),1990,3140,6,Mixed
Equity ratio at 30 June (%),1990,85,1,Mixed
Ewes at 30 June (no.),1990,1060,6,Mixed
Family share of farm income ($),1990,56870,11,Mixed
Farm business debt at 30 June ($),1990,317490,7,Mixed
Farm business equity June 30 ($),1990,1862250,6,Mixed
Farm business profit ($),1990,23350,42,Mixed
Farm cash income ($),1990,144420,7,Mixed
Farm liquid assets at 30 June ($),1990,104370,17,Mixed
Fertiliser ($),1990,33320,6,Mixed
Field peas area sown (ha),1990,10,23,Mixed
Field peas produced (t),1990,9,25,Mixed
Field peas receipts ($),1990,5400,26,Mixed
Fodder ($),1990,4250,23,Mixed
Fuel oil and grease ($),1990,28730,5,Mixed
Grain legumes area sown (ha),1990,39,16,Mixed
Grain legumes produced (t),1990,35,16,Mixed
Grain legumes receipts ($),1990,15230,18,Mixed
Handling and marketing ($),1990,26580,5,Mixed
Hours worked on farm - total (hrsperwk),1990,,,Mixed
Hours worked on farm by owner manager (hrsperwk),1990,,,Mixed
Hours worked on farm by spouse (hrsperwk),1990,,,Mixed
Imputed labor cost ($),1990,73010,5,Mixed
Insurance ($),1990,8230,6,Mixed
Interest paid ($),1990,44820,8,Mixed
Lambs at 30 June (no.),1990,572,7,Mixed
Land rent ($),1990,5400,23,Mixed
Leasing charges ($),1990,10890,24,Mixed
Livestock materials ($),1990,6820,10,Mixed
Livestock transfers - inwards ($),1990,1330,59,Mixed
Livestock transfers - outward ($),1990,400,54,Mixed
Lupins area sown (ha),1990,26,23,Mixed
Lupins produced (t),1990,24,21,Mixed
Lupins receipts ($),1990,8010,27,Mixed
Net capital additions ($),1990,84680,20,Mixed
Oats area sown (ha),1990,44,13,Mixed
Oats produced (t),1990,47,14,Mixed
Oats receipts ($),1990,6550,23,Mixed
Off farm contracts ($),1990,9940,31,Mixed
Off farm sharefarming ($),1990,11560,27,Mixed
Off-farm work for owner manager (hrsperwk),1990,0,41,Mixed
Off-farm work for spouse (hrsperwk),1990,3,26,Mixed
Oilseeds area sown (ha),1990,6,31,Mixed
Oilseeds produced (t),1990,5,34,Mixed
